PERIOD_TYPE,PERIOD_MONTH,PERIOD_QUARTER,PERIOD_YEAR,ID_COMPANY_CODE,ID_ORG_UNIT,ID_BUSINESS_LOC,ID_SOURCE,ID_MEASURE,MEASURE_VALUE_CHAR,MEASURE_UNIT,ID_ACCOUNT
M,1,1,2019,AR01,,4,SCT_Test_s,PPT_AMOUNT,428375.3,USD,SCT_0051
M,2,1,2019,AR01,,4,SCT_Test_s,PPT_AMOUNT,428375.3,USD,SCT_0054
M,3,1,2019,AR01,,4,SCT_Test_s,PPT_AMOUNT,412248.2,USD,SCT_0056
M,4,2,2019,AR01,,4,SCT_Test_s,PPT_AMOUNT,412248.2,USD,SCT_0057
M,5,2,2019,AR01,,4,SCT_Test_s,PPT_AMOUNT,412248.2,USD,SCT_0058
M,6,2,2019,AR01,,4,SCT_Test_s,PPT_AMOUNT,412248.2,USD,SCT_0059
M,7,3,2019,AR01,,4,SCT_Test_s,PPT_AMOUNT,412248.2,USD,SCT_0060
M,8,3,2019,AR01,,4,SCT_Test_s,PPT_AMOUNT,412248.2,USD,SCT_0061
M,9,3,2019,AR01,,4,SCT_Test_s,PPT_AMOUNT,412248.2,USD,SCT_0063
M,10,4,2019,AR01,,4,SCT_Test_s,PPT_AMOUNT,412248.2,USD,SCT_0065
M,11,4,2019,AR01,,4,SCT_Test_s,PPT_AMOUNT,412248.2,USD,SCT_0066
M,12,4,2019,AR01,,4,SCT_Test_s,PPT_AMOUNT,412248.2,USD,SCT_0067
M,1,1,2020,AR01,,4,SCT_Test_s,PPT_AMOUNT,382788.7,USD,SCT_0068
M,2,1,2020,AR01,,4,SCT_Test_s,PPT_AMOUNT,401507,USD,SCT_0069
M,3,1,2020,AR01,,4,SCT_Test_s,PPT_AMOUNT,401507,USD,SCT_0070
M,4,2,2020,AR01,,4,SCT_Test_s,PPT_AMOUNT,401507,USD,SCT_0071
M,5,2,2020,AR01,,4,SCT_Test_s,PPT_AMOUNT,401507,USD,SCT_0072
M,6,2,2020,AR01,,4,SCT_Test_s,PPT_AMOUNT,401507,USD,SCT_0073
M,7,3,2020,AR01,,4,SCT_Test_s,PPT_AMOUNT,401507,USD,SCT_0052
M,8,3,2020,AR01,,4,SCT_Test_s,PPT_AMOUNT,401507,USD,SCT_0053
M,9,3,2020,AR01,,4,SCT_Test_s,PPT_AMOUNT,401507,USD,SCT_0055
M,10,4,2020,AR01,,4,SCT_Test_s,PPT_AMOUNT,401507,USD,SCT_0062
M,11,4,2020,AR01,,4,SCT_Test_s,PPT_AMOUNT,401507,USD,SCT_0064
M,12,4,2020,AR01,,4,SCT_Test_s,PPT_AMOUNT,401507,USD,SCT_0074
M,1,1,2021,AR01,,4,SCT_Test_s,PPT_AMOUNT,393572,USD,SCT_0075
M,2,1,2021,AR01,,4,SCT_Test_s,PPT_AMOUNT,393572,USD,SCT_0045
M,3,1,2021,AR01,,4,SCT_Test_s,PPT_AMOUNT,393572,USD,SCT_0046
M,4,2,2021,AR01,,4,SCT_Test_s,PPT_AMOUNT,393572,USD,SCT_0047
M,5,2,2021,AR01,,4,SCT_Test_s,PPT_AMOUNT,393572,USD,SCT_0048
M,6,2,2021,AR01,,4,SCT_Test_s,PPT_AMOUNT,393572,USD,SCT_0049
M,7,3,2021,AR01,,4,SCT_Test_s,PPT_AMOUNT,393572,USD,SCT_0050
M,8,3,2021,AR01,,4,SCT_Test_s,PPT_AMOUNT,393572,USD,SCT_0051
M,9,3,2021,AR01,,4,SCT_Test_s,PPT_AMOUNT,393572,USD,SCT_0054
M,10,4,2021,AR01,,4,SCT_Test_s,PPT_AMOUNT,393572,USD,SCT_0056
M,11,4,2021,AR01,,4,SCT_Test_s,PPT_AMOUNT,393572,USD,SCT_0057
