ID_SOURCE,ID_MEASURE,MEASURE_VALUE_CHAR,MEASURE_UNIT,PERIOD_TYPE,PERIOD_YEAR,PERIOD_MONTH,PERIOD_QUARTER,ID_USE_TYPE,ID_STRESS_CATEGORY,ID_WATER_SOURCE,ID_BUSINESS_LOC,ID_ORG_UNIT,ID_COMPANY_CODE
SCT_Test_s,WTR_QUANTITY,5,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_01,1,50000761,DE01
SCT_Test_s,WTR_QUANTITY,0,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_02,1,50000761,DE01
SCT_Test_s,WTR_QUANTITY,3,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_03,1,50000761,DE01
SCT_Test_s,WTR_QUANTITY,1,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_04,1,50000761,DE01
SCT_Test_s,WTR_QUANTITY,6,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_01,2,50001035,DK01
SCT_Test_s,WTR_QUANTITY,0,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_02,2,50001035,DK01
SCT_Test_s,WTR_QUANTITY,3,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_03,2,50001035,DK01
SCT_Test_s,WTR_QUANTITY,1,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_04,2,50001035,DK01
SCT_Test_s,WTR_QUANTITY,8,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_01,3,50000827,AT01
SCT_Test_s,WTR_QUANTITY,0,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_02,3,50000827,AT01
SCT_Test_s,WTR_QUANTITY,4,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_03,3,50000827,AT01
SCT_Test_s,WTR_QUANTITY,1,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_04,3,50000827,AT01
SCT_Test_s,WTR_QUANTITY,7,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_01,5,50000056,MX01
SCT_Test_s,WTR_QUANTITY,2,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_02,5,50000056,MX01
SCT_Test_s,WTR_QUANTITY,4,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_03,5,50000056,MX01
SCT_Test_s,WTR_QUANTITY,2,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_04,5,50000056,MX01
SCT_Test_s,WTR_QUANTITY,4,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_01,4,50000256,AR01
SCT_Test_s,WTR_QUANTITY,3,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_02,4,50000256,AR01
SCT_Test_s,WTR_QUANTITY,5,Ml,M,2019,1,1,W,STRESS_CAT_01,SOURCE_03,4,50000256,AR01
