ID_SOURCE,PERIOD_TYPE,PERIOD_YEAR,PERIOD_QUARTER,PERIOD_MONTH,ID_WEF_METRIC,ID_LINK_PLACE,ID_QD_STATUS,LINKS,LINK_TITLES
SCT_Test_s,M,2022,1,1,GBC,DI,INP,www.google.com/search?q=GBC3,Governance Body skill matrix
SCT_Test_s,M,2022,1,2,GBC,DI,INP,www.google.com/search?q=GBC3,Governance Body skill matrix
SCT_Test_s,M,2022,1,1,MIS,DI,INP,www.google.com/search?q=MIS2,Assessment and prioritization process
SCT_Test_s,M,2022,1,1,MIS,DI,AVA,www.google.com/search?q=MIS1,List of material topics
SCT_Test_s,M,2022,1,1,ACR,DI,INP,www.google.com/search?q=ACR3,Code of Business Conduct/ Ethical and legal framework and policies
SCT_Test_s,M,2022,1,2,ACR,DI,INP,www.google.com/search?q=ACR3,Code of Business Conduct/ Ethical and legal framework and policies
SCT_Test_s,M,2022,1,3,ACR,DI,INP,www.google.com/search?q=ACR3,Code of Business Conduct/ Ethical and legal framework and policies
SCT_Test_s,M,2022,1,1,ACR,DI,NAV,www.google.com/search?q=ACR1,Discussion of initiatives and stakeholder engagement to improve the broader operation environment and culture
SCT_Test_s,M,2022,1,2,ACR,DI,NAV,www.google.com/search?q=ACR1,Discussion of initiatives and stakeholder engagement to improve the broader operation environment and culture
SCT_Test_s,M,2022,1,3,ACR,DI,NAV,www.google.com/search?q=ACR1,Discussion of initiatives and stakeholder engagement to improve the broader operation environment and culture
SCT_Test_s,M,2022,1,1,ACR,DI,NAV,www.google.com/search?q=ACR6,Engagage of stakeholder groups
SCT_Test_s,M,2022,1,2,ACR,DI,NAV,www.google.com/search?q=ACR6,Engagage of stakeholder groups
SCT_Test_s,M,2022,1,3,ACR,DI,NAV,www.google.com/search?q=ACR6,Engagage of stakeholder groups
SCT_Test_s,M,2022,1,1,ACR,DI,INP,www.google.com/search?q=ACR5,Investigating misconduct
SCT_Test_s,M,2022,1,1,EAR,DI,INP,www.google.com/search?q=EAR1,Mechansims for seeking advice about ethical and lawful behaviour and organizational integrity
SCT_Test_s,M,2022,1,1,EAR,DI,NAV,www.google.com/search?q=EAR2,Mechanisms for reporting concerns about unethical or unlawful behaviour and lack of organizational integrity
SCT_Test_s,M,2022,1,1,EAR,DI,AVA,www.google.com/search?q=EAR3,Business Code of Conduct 
SCT_Test_s,M,2022,1,1,EAR,DI,AVA,www.google.com/search?q=EAR4,Compliance processes
SCT_Test_s,M,2022,1,1,ROP,DI,AVA,www.google.com/search?q=ROP1,Compliance processes
SCT_Test_s,M,2022,1,1,TCI,GDI,AVA,www.google.com/search?q=TCIGDI1,Describe the board's oversight of climate-related risks and opportunities
SCT_Test_s,M,2022,1,1,TCI,GDI,AVA,www.google.com/search?q=TCIGDI2,Describe management's role in assessing and managing climate-related risks and opportunities
SCT_Test_s,M,2022,1,1,TCI,SDI,AVA,www.google.com/search?q=TCISDI1,"Describe the climate-related risks and opportunities the organization has identified over the short, medium and long term"
SCT_Test_s,M,2022,1,1,TCI,SDI,AVA,www.google.com/search?q=TCISDI2,"Describe the impact of climate-related risks and opportunities on the organization's businesses, strategy and financial planning"
