ID_SOURCE,ID_MEASURE,MEASURE_VALUE_CHAR,MEASURE_UNIT,PERIOD_TYPE,PERIOD_YEAR,PERIOD_MONTH,PERIOD_QUARTER,ID_BUSINESS_LOC,ID_COMPANY_CODE,ID_BIODIV_CAT,ID_PROT_AREA_CAT,ID_ORIENTATION,ID_LEGAL_REL
SCT_Test_s,LND_SITE_COUNT,20,,M,2018,1,1,4,AR01,2,,1,
SCT_Test_s,LND_SITE_COUNT,18,,M,2018,1,1,4,AR01,2,,2,
SCT_Test_s,LND_SITE_COUNT,16,,M,2018,1,1,3,AT01,2,,1,
SCT_Test_s,LND_SITE_COUNT,14,,M,2018,1,1,3,AT01,2,,2,
SCT_Test_s,LND_SITE_COUNT,12,,M,2018,1,1,1,DE01,2,,1,
SCT_Test_s,LND_SITE_COUNT,10,,M,2018,1,1,1,DE01,2,,2,
SCT_Test_s,LND_SITE_COUNT,15,,M,2018,1,1,2,DK01,2,,1,
SCT_Test_s,LND_SITE_COUNT,8,,M,2018,1,1,2,DK01,2,,2,
SCT_Test_s,LND_SITE_COUNT,20,,M,2018,1,1,6,MX01,2,,1,
SCT_Test_s,LND_SITE_COUNT,18,,M,2018,1,1,6,MX01,2,,2,
SCT_Test_s,LND_SITE_COUNT,20,,M,2018,2,1,4,AR01,2,,1,
SCT_Test_s,LND_SITE_COUNT,18,,M,2018,2,1,4,AR01,2,,2,
SCT_Test_s,LND_SITE_COUNT,16,,M,2018,2,1,3,AT01,2,,1,
SCT_Test_s,LND_SITE_COUNT,14,,M,2018,2,1,3,AT01,2,,2,
SCT_Test_s,LND_SITE_COUNT,12,,M,2018,2,1,1,DE01,2,,1,
SCT_Test_s,LND_SITE_COUNT,10,,M,2018,2,1,1,DE01,2,,2,
SCT_Test_s,LND_SITE_COUNT,15,,M,2018,2,1,2,DK01,2,,1,
SCT_Test_s,LND_SITE_COUNT,8,,M,2018,2,1,2,DK01,2,,2,
SCT_Test_s,LND_SITE_COUNT,20,,M,2018,2,1,6,MX01,2,,1,
SCT_Test_s,LND_SITE_COUNT,18,,M,2018,2,1,6,MX01,2,,2,
SCT_Test_s,LND_SITE_COUNT,20,,M,2018,3,1,4,AR01,2,,1,
SCT_Test_s,LND_SITE_COUNT,18,,M,2018,3,1,4,AR01,2,,2,
SCT_Test_s,LND_SITE_COUNT,16,,M,2018,3,1,3,AT01,2,,1,
SCT_Test_s,LND_SITE_COUNT,14,,M,2018,3,1,3,AT01,2,,2,
SCT_Test_s,LND_SITE_COUNT,12,,M,2018,3,1,1,DE01,2,,1,
SCT_Test_s,LND_SITE_COUNT,10,,M,2018,3,1,1,DE01,2,,2,
SCT_Test_s,LND_SITE_COUNT,15,,M,2018,3,1,2,DK01,2,,1,
SCT_Test_s,LND_SITE_COUNT,8,,M,2018,3,1,2,DK01,2,,2,
SCT_Test_s,LND_SITE_COUNT,20,,M,2018,3,1,6,MX01,2,,1,
SCT_Test_s,LND_SITE_COUNT,18,,M,2018,3,1,6,MX01,2,,2,
SCT_Test_s,LND_SITE_COUNT,18,,M,2019,1,1,4,AR01,2,,1,
SCT_Test_s,LND_SITE_COUNT,16,,M,2019,1,1,4,AR01,2,,2,
SCT_Test_s,LND_SITE_COUNT,14,,M,2019,1,1,3,AT01,2,,1,
SCT_Test_s,LND_SITE_COUNT,12,,M,2019,1,1,3,AT01,2,,2,
SCT_Test_s,LND_SITE_COUNT,10,,M,2019,1,1,1,DE01,2,,1,
SCT_Test_s,LND_SITE_COUNT,8,,M,2019,1,1,1,DE01,2,,2,
SCT_Test_s,LND_SITE_COUNT,12,,M,2019,1,1,2,DK01,2,,1,
SCT_Test_s,LND_SITE_COUNT,8,,M,2019,1,1,2,DK01,2,,2,
SCT_Test_s,LND_SITE_COUNT,18,,M,2019,1,1,6,MX01,2,,1,
SCT_Test_s,LND_SITE_COUNT,14,,M,2019,1,1,6,MX01,2,,2,
SCT_Test_s,LND_SITE_COUNT,20,,M,2020,1,1,4,AR01,2,,1,
SCT_Test_s,LND_SITE_COUNT,18,,M,2020,1,1,4,AR01,2,,2,
SCT_Test_s,LND_SITE_COUNT,16,,M,2020,1,1,3,AT01,2,,1,
SCT_Test_s,LND_SITE_COUNT,14,,M,2020,1,1,3,AT01,2,,2,
SCT_Test_s,LND_SITE_COUNT,12,,M,2020,1,1,1,DE01,2,,1,
SCT_Test_s,LND_SITE_COUNT,10,,M,2020,1,1,1,DE01,2,,2,
SCT_Test_s,LND_SITE_COUNT,15,,M,2020,1,1,2,DK01,2,,1,
SCT_Test_s,LND_SITE_COUNT,8,,M,2020,1,1,2,DK01,2,,2,
SCT_Test_s,LND_SITE_COUNT,20,,M,2020,1,1,6,MX01,2,,1,
SCT_Test_s,LND_SITE_COUNT,18,,M,2020,1,1,6,MX01,2,,2,
SCT_Test_s,LND_SITE_COUNT,18,,M,2021,1,1,4,AR01,2,,1,
SCT_Test_s,LND_SITE_COUNT,16,,M,2021,1,1,4,AR01,2,,2,
SCT_Test_s,LND_SITE_COUNT,14,,M,2021,1,1,3,AT01,2,,1,
SCT_Test_s,LND_SITE_COUNT,12,,M,2021,1,1,3,AT01,2,,2,
SCT_Test_s,LND_SITE_COUNT,10,,M,2021,1,1,1,DE01,2,,1,
SCT_Test_s,LND_SITE_COUNT,8,,M,2021,1,1,1,DE01,2,,2,
SCT_Test_s,LND_SITE_COUNT,12,,M,2021,1,1,2,DK01,2,,1,
SCT_Test_s,LND_SITE_COUNT,8,,M,2021,1,1,2,DK01,2,,2,
SCT_Test_s,LND_SITE_COUNT,18,,M,2021,1,1,6,MX01,2,,1,
SCT_Test_s,LND_SITE_COUNT,14,,M,2021,1,1,6,MX01,2,,2,
SCT_Test_s,LND_AREA,0,ha,M,2018,1,1,1,DE01,1,1,1,1
SCT_Test_s,LND_AREA,0,ha,M,2018,1,1,2,DK01,1,1,1,1
SCT_Test_s,LND_AREA,0,ha,M,2018,1,1,3,AT01,1,1,1,1
SCT_Test_s,LND_AREA,0,ha,M,2018,1,1,1,DE01,1,2,1,1
SCT_Test_s,LND_AREA,0,ha,M,2018,1,1,2,DK01,1,2,1,1
SCT_Test_s,LND_AREA,0,ha,M,2018,1,1,3,AT01,1,2,1,1
SCT_Test_s,LND_AREA,1,ha,M,2018,1,1,1,DE01,1,3,1,1
SCT_Test_s,LND_AREA,0,ha,M,2018,1,1,2,DK01,1,3,1,1
SCT_Test_s,LND_AREA,0,ha,M,2018,1,1,3,AT01,1,3,1,1
SCT_Test_s,LND_AREA,1,ha,M,2018,1,1,1,DE01,1,4,1,1
SCT_Test_s,LND_AREA,2,ha,M,2018,1,1,2,DK01,1,4,1,1
SCT_Test_s,LND_AREA,3,ha,M,2018,1,1,3,AT01,1,4,1,1
SCT_Test_s,LND_AREA,4,ha,M,2018,1,1,1,DE01,1,5,1,1
SCT_Test_s,LND_AREA,3,ha,M,2018,1,1,2,DK01,1,5,1,1
SCT_Test_s,LND_AREA,4,ha,M,2018,1,1,3,AT01,1,5,1,1
SCT_Test_s,LND_AREA,2,ha,M,2018,1,1,1,DE01,1,6,1,1
SCT_Test_s,LND_AREA,3,ha,M,2018,1,1,2,DK01,1,6,1,1
SCT_Test_s,LND_AREA,4,ha,M,2018,1,1,3,AT01,1,6,1,1
SCT_Test_s,LND_AREA,4,ha,M,2018,1,1,1,DE01,1,7,1,1
SCT_Test_s,LND_AREA,5,ha,M,2018,1,1,2,DK01,1,7,1,1
SCT_Test_s,LND_AREA,6,ha,M,2018,1,1,3,AT01,1,7,1,1
SCT_Test_s,LND_AREA,1,ha,M,2018,1,1,1,DE01,1,1,2,1
SCT_Test_s,LND_AREA,1,ha,M,2018,1,1,2,DK01,1,1,2,1
SCT_Test_s,LND_AREA,1,ha,M,2018,1,1,3,AT01,1,1,2,1
SCT_Test_s,LND_AREA,1,ha,M,2018,1,1,1,DE01,1,2,2,1
SCT_Test_s,LND_AREA,1,ha,M,2018,1,1,2,DK01,1,2,2,1
SCT_Test_s,LND_AREA,1,ha,M,2018,1,1,3,AT01,1,2,2,1
SCT_Test_s,LND_AREA,1,ha,M,2018,1,1,1,DE01,1,3,2,1
SCT_Test_s,LND_AREA,1,ha,M,2018,1,1,2,DK01,1,3,2,1
SCT_Test_s,LND_AREA,1,ha,M,2018,1,1,3,AT01,1,3,2,1
SCT_Test_s,LND_AREA,2,ha,M,2018,1,1,1,DE01,1,4,2,1
SCT_Test_s,LND_AREA,3,ha,M,2018,1,1,2,DK01,1,4,2,1
SCT_Test_s,LND_AREA,3,ha,M,2018,1,1,3,AT01,1,4,2,1
SCT_Test_s,LND_AREA,5,ha,M,2018,1,1,1,DE01,1,5,2,1
SCT_Test_s,LND_AREA,7,ha,M,2018,1,1,2,DK01,1,5,2,1
SCT_Test_s,LND_AREA,7,ha,M,2018,1,1,3,AT01,1,5,2,1
SCT_Test_s,LND_AREA,3,ha,M,2018,1,1,1,DE01,1,6,2,1
SCT_Test_s,LND_AREA,5,ha,M,2018,1,1,2,DK01,1,6,2,1
SCT_Test_s,LND_AREA,3,ha,M,2018,1,1,3,AT01,1,6,2,1
SCT_Test_s,LND_AREA,4,ha,M,2018,1,1,1,DE01,1,7,2,1
SCT_Test_s,LND_AREA,6,ha,M,2018,1,1,2,DK01,1,7,2,1
SCT_Test_s,LND_AREA,5,ha,M,2018,1,1,3,AT01,1,7,2,1
SCT_Test_s,LND_AREA,0,ha,M,2018,1,1,1,DE01,1,1,1,2
SCT_Test_s,LND_AREA,0,ha,M,2018,1,1,2,DK01,1,1,1,2
