ID_SOURCE,PERIOD_TYPE,PERIOD_YEAR,PERIOD_QUARTER,PERIOD_MONTH,ID_COMPANY_CODE,ID_ORG_UNIT,ID_BUSINESS_LOC,ID_GENDER,ID_ETHNICITY,ID_GRADE,ID_AGE_GROUP,ID_CONTRACT_STATUS,ID_EMP_CATEGORY,ID_MEASURE,MEASURE_VALUE_CHAR,MEASURE_UNIT,MEASURE_COUNT,ID_CONTRACT_TYPE
SCT_Test_s,M,2019,1,1,AR01,50000055,4,M,,EMP,,,CORP,PPL_TRAININGDURATION,185,HRS,37,
SCT_Test_s,M,2019,1,1,AR01,50000055,4,M,,EMP,,,OPER,PPL_TRAININGDURATION,375,HRS,75,
SCT_Test_s,M,2019,1,1,AR01,50000055,4,M,,MAN_EXSEN,,,CORP,PPL_TRAININGDURATION,12,HRS,4,
SCT_Test_s,M,2019,1,1,AR01,50000055,4,M,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,43,HRS,8,
SCT_Test_s,M,2019,1,1,AR01,50000055,4,M,,MAN_FIMID,,,CORP,PPL_TRAININGDURATION,55,HRS,10,
SCT_Test_s,M,2019,1,1,AR01,50000055,4,M,,MAN_FIMID,,,OPER,PPL_TRAININGDURATION,144,HRS,29,
SCT_Test_s,M,2019,1,1,AR01,50000055,4,F,,EMP,,,CORP,PPL_TRAININGDURATION,49,HRS,9,
SCT_Test_s,M,2019,1,1,AR01,50000055,4,F,,EMP,,,OPER,PPL_TRAININGDURATION,146,HRS,30,
SCT_Test_s,M,2019,1,1,AR01,50000055,4,F,,MAN_EXSEN,,,CORP,PPL_TRAININGDURATION,30,HRS,6,
SCT_Test_s,M,2019,1,1,AR01,50000055,4,F,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,30,HRS,6,
SCT_Test_s,M,2019,1,1,AR01,50000256,4,M,,EMP,,,CORP,PPL_TRAININGDURATION,142,HRS,32,
SCT_Test_s,M,2019,1,1,AR01,50000256,4,M,,EMP,,,OPER,PPL_TRAININGDURATION,405.5,HRS,79,
SCT_Test_s,M,2019,1,1,AR01,50000256,4,M,,MAN_EXSEN,,,CORP,PPL_TRAININGDURATION,8,HRS,2,
SCT_Test_s,M,2019,1,1,AR01,50000256,4,M,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,59,HRS,12,
SCT_Test_s,M,2019,1,1,AR01,50000256,4,M,,MAN_FIMID,,,CORP,PPL_TRAININGDURATION,36,HRS,7,
SCT_Test_s,M,2019,1,1,AR01,50000256,4,M,,MAN_FIMID,,,OPER,PPL_TRAININGDURATION,172,HRS,29,
SCT_Test_s,M,2019,1,1,AR01,50000256,4,F,,EMP,,,CORP,PPL_TRAININGDURATION,54,HRS,10,
SCT_Test_s,M,2019,1,1,AR01,50000256,4,F,,EMP,,,OPER,PPL_TRAININGDURATION,128,HRS,27,
SCT_Test_s,M,2019,1,1,AR01,50000256,4,F,,MAN_EXSEN,,,CORP,PPL_TRAININGDURATION,16,HRS,2,
SCT_Test_s,M,2019,1,1,AR01,50000256,4,F,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,52,HRS,10,
SCT_Test_s,M,2019,1,1,AR01,50000256,4,UN,,EMP,,,OPER,PPL_TRAININGDURATION,0,HRS,1,
SCT_Test_s,M,2019,1,1,AT01,50000827,3,M,,EMP,,,CORP,PPL_TRAININGDURATION,68,HRS,71,
SCT_Test_s,M,2019,1,1,AT01,50000827,3,M,,EMP,,,OPER,PPL_TRAININGDURATION,208,HRS,200,
SCT_Test_s,M,2019,1,1,AT01,50000827,3,M,,MAN_EXSEN,,,CORP,PPL_TRAININGDURATION,4,HRS,7,
SCT_Test_s,M,2019,1,1,AT01,50000827,3,M,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,8,HRS,18,
SCT_Test_s,M,2019,1,1,AT01,50000827,3,M,,MAN_FIMID,,,CORP,PPL_TRAININGDURATION,0,HRS,5,
SCT_Test_s,M,2019,1,1,AT01,50000827,3,M,,MAN_FIMID,,,OPER,PPL_TRAININGDURATION,20,HRS,21,
SCT_Test_s,M,2019,1,1,AT01,50000827,3,F,,EMP,,,CORP,PPL_TRAININGDURATION,32,HRS,59,
SCT_Test_s,M,2019,1,1,AT01,50000827,3,F,,EMP,,,OPER,PPL_TRAININGDURATION,92,HRS,108,
SCT_Test_s,M,2019,1,1,AT01,50000827,3,F,,MAN_FIMID,,,CORP,PPL_TRAININGDURATION,4,HRS,11,
SCT_Test_s,M,2019,1,1,AT01,50000827,3,F,,MAN_FIMID,,,OPER,PPL_TRAININGDURATION,8,HRS,13,
SCT_Test_s,M,2019,1,1,CA01,50000257,7,M,,EMP,,,CORP,PPL_TRAININGDURATION,8,HRS,6,
SCT_Test_s,M,2019,1,1,CA01,50000257,7,M,,EMP,,,OPER,PPL_TRAININGDURATION,28,HRS,15,
SCT_Test_s,M,2019,1,1,CA01,50000257,7,M,,MAN_EXSEN,,,CORP,PPL_TRAININGDURATION,0,HRS,1,
SCT_Test_s,M,2019,1,1,CA01,50000257,7,M,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,4,HRS,4,
SCT_Test_s,M,2019,1,1,CA01,50000257,7,M,,MAN_FIMID,,,CORP,PPL_TRAININGDURATION,0,HRS,3,
SCT_Test_s,M,2019,1,1,CA01,50000257,7,M,,MAN_FIMID,,,OPER,PPL_TRAININGDURATION,4,HRS,6,
SCT_Test_s,M,2019,1,1,CA01,50000257,7,F,,EMP,,,CORP,PPL_TRAININGDURATION,4,HRS,15,
SCT_Test_s,M,2019,1,1,CA01,50000257,7,F,,EMP,,,OPER,PPL_TRAININGDURATION,24,HRS,40,
SCT_Test_s,M,2019,1,1,CA01,50000257,7,F,,MAN_EXSEN,,,CORP,PPL_TRAININGDURATION,4,HRS,1,
SCT_Test_s,M,2019,1,1,CA01,50000257,7,F,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,4,HRS,4,
SCT_Test_s,M,2019,1,1,CA01,50000257,7,NB,,EMP,,,CORP,PPL_TRAININGDURATION,8,HRS,3,
SCT_Test_s,M,2019,1,1,CA01,50000257,7,NB,,EMP,,,OPER,PPL_TRAININGDURATION,16,HRS,7,
SCT_Test_s,M,2019,1,1,CA01,50000257,7,NB,,MAN_FIMID,,,CORP,PPL_TRAININGDURATION,4,HRS,1,
SCT_Test_s,M,2019,1,1,CA01,50000257,7,NB,,MAN_FIMID,,,OPER,PPL_TRAININGDURATION,4,HRS,4,
SCT_Test_s,M,2019,1,1,DE01,50000761,1,M,,EMP,,,CORP,PPL_TRAININGDURATION,20,HRS,38,
SCT_Test_s,M,2019,1,1,DE01,50000761,1,M,,EMP,,,OPER,PPL_TRAININGDURATION,84,HRS,113,
SCT_Test_s,M,2019,1,1,DE01,50000761,1,M,,MAN_EXSEN,,,CORP,PPL_TRAININGDURATION,4,HRS,6,
SCT_Test_s,M,2019,1,1,DE01,50000761,1,M,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,12,HRS,12,
SCT_Test_s,M,2019,1,1,DE01,50000761,1,M,,MAN_FIMID,,,CORP,PPL_TRAININGDURATION,8,HRS,17,
SCT_Test_s,M,2019,1,1,DE01,50000761,1,M,,MAN_FIMID,,,OPER,PPL_TRAININGDURATION,36,HRS,33,
SCT_Test_s,M,2019,1,1,DE01,50000761,1,F,,EMP,,,CORP,PPL_TRAININGDURATION,24,HRS,37,
SCT_Test_s,M,2019,1,1,DE01,50000761,1,F,,EMP,,,OPER,PPL_TRAININGDURATION,100,HRS,117,
SCT_Test_s,M,2019,1,1,DE01,50000761,1,F,,MAN_EXSEN,,,CORP,PPL_TRAININGDURATION,0,HRS,2,
SCT_Test_s,M,2019,1,1,DE01,50000761,1,F,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,4,HRS,5,
SCT_Test_s,M,2019,1,1,DK01,50001035,2,M,,EMP,,,OPER,PPL_TRAININGDURATION,8,HRS,4,
SCT_Test_s,M,2019,1,1,DK01,50001035,2,F,,EMP,,,OPER,PPL_TRAININGDURATION,8,HRS,7,
SCT_Test_s,M,2019,1,1,DK01,50001035,2,F,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,4,HRS,2,
SCT_Test_s,M,2019,1,1,DK01,50001035,2,F,,MAN_FIMID,,,OPER,PPL_TRAININGDURATION,0,HRS,2,
SCT_Test_s,M,2019,1,1,DK01,50001035,2,NB,,EMP,,,OPER,PPL_TRAININGDURATION,0,HRS,1,
SCT_Test_s,M,2019,1,1,MX01,50000056,5,M,,EMP,,,CORP,PPL_TRAININGDURATION,72,HRS,58,
SCT_Test_s,M,2019,1,1,MX01,50000056,5,M,,EMP,,,OPER,PPL_TRAININGDURATION,96,HRS,142,
SCT_Test_s,M,2019,1,1,MX01,50000056,5,M,,MAN_EXSEN,,,CORP,PPL_TRAININGDURATION,12,HRS,25,
SCT_Test_s,M,2019,1,1,MX01,50000056,5,M,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,68,HRS,50,
SCT_Test_s,M,2019,1,1,MX01,50000056,5,M,,MAN_FIMID,,,CORP,PPL_TRAININGDURATION,8,HRS,16,
SCT_Test_s,M,2019,1,1,MX01,50000056,5,M,,MAN_FIMID,,,OPER,PPL_TRAININGDURATION,24,HRS,34,
SCT_Test_s,M,2019,1,1,MX01,50000056,5,F,,EMP,,,CORP,PPL_TRAININGDURATION,0,HRS,7,
SCT_Test_s,M,2019,1,1,MX01,50000056,5,F,,EMP,,,OPER,PPL_TRAININGDURATION,12,HRS,18,
SCT_Test_s,M,2019,1,1,MX01,50000056,5,F,,MAN_FIMID,,,CORP,PPL_TRAININGDURATION,8,HRS,10,
SCT_Test_s,M,2019,1,1,MX01,50000056,5,F,,MAN_FIMID,,,OPER,PPL_TRAININGDURATION,12,HRS,15,
SCT_Test_s,M,2019,1,2,AR01,50000055,4,M,,EMP,,,CORP,PPL_TRAININGDURATION,20,HRS,30,
SCT_Test_s,M,2019,1,2,AR01,50000055,4,M,,EMP,,,OPER,PPL_TRAININGDURATION,84,HRS,82,
SCT_Test_s,M,2019,1,2,AR01,50000055,4,M,,MAN_EXSEN,,,CORP,PPL_TRAININGDURATION,4,HRS,2,
SCT_Test_s,M,2019,1,2,AR01,50000055,4,M,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,0,HRS,10,
SCT_Test_s,M,2019,1,2,AR01,50000055,4,M,,MAN_FIMID,,,CORP,PPL_TRAININGDURATION,20,HRS,12,
SCT_Test_s,M,2019,1,2,AR01,50000055,4,M,,MAN_FIMID,,,OPER,PPL_TRAININGDURATION,24,HRS,27,
SCT_Test_s,M,2019,1,2,AR01,50000055,4,F,,EMP,,,CORP,PPL_TRAININGDURATION,16,HRS,15,
SCT_Test_s,M,2019,1,2,AR01,50000055,4,F,,EMP,,,OPER,PPL_TRAININGDURATION,12,HRS,24,
SCT_Test_s,M,2019,1,2,AR01,50000055,4,F,,MAN_EXSEN,,,CORP,PPL_TRAININGDURATION,0,HRS,4,
SCT_Test_s,M,2019,1,2,AR01,50000055,4,F,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,4,HRS,8,
SCT_Test_s,M,2019,1,2,AR01,50000256,4,M,,EMP,,,CORP,PPL_TRAININGDURATION,38,HRS,29,
SCT_Test_s,M,2019,1,2,AR01,50000256,4,M,,EMP,,,OPER,PPL_TRAININGDURATION,92,HRS,83,
SCT_Test_s,M,2019,1,2,AR01,50000256,4,M,,MAN_EXSEN,,,CORP,PPL_TRAININGDURATION,8,HRS,5,
SCT_Test_s,M,2019,1,2,AR01,50000256,4,M,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,8,HRS,8,
SCT_Test_s,M,2019,1,2,AR01,50000256,4,M,,MAN_FIMID,,,CORP,PPL_TRAININGDURATION,18,HRS,11,
SCT_Test_s,M,2019,1,2,AR01,50000256,4,M,,MAN_FIMID,,,OPER,PPL_TRAININGDURATION,36,HRS,25,
SCT_Test_s,M,2019,1,2,AR01,50000256,4,F,,EMP,,,CORP,PPL_TRAININGDURATION,0,HRS,11,
SCT_Test_s,M,2019,1,2,AR01,50000256,4,F,,EMP,,,OPER,PPL_TRAININGDURATION,38,HRS,25,
SCT_Test_s,M,2019,1,2,AR01,50000256,4,F,,MAN_EXSEN,,,CORP,PPL_TRAININGDURATION,4,HRS,4,
SCT_Test_s,M,2019,1,2,AR01,50000256,4,F,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,12,HRS,9,
SCT_Test_s,M,2019,1,2,AR01,50000256,4,UN,,EMP,,,OPER,PPL_TRAININGDURATION,6,HRS,1,
SCT_Test_s,M,2019,1,2,AT01,50000827,3,M,,EMP,,,CORP,PPL_TRAININGDURATION,60,HRS,69,
SCT_Test_s,M,2019,1,2,AT01,50000827,3,M,,EMP,,,OPER,PPL_TRAININGDURATION,168,HRS,196,
SCT_Test_s,M,2019,1,2,AT01,50000827,3,M,,MAN_EXSEN,,,CORP,PPL_TRAININGDURATION,12,HRS,11,
SCT_Test_s,M,2019,1,2,AT01,50000827,3,M,,MAN_EXSEN,,,OPER,PPL_TRAININGDURATION,4,HRS,14,
SCT_Test_s,M,2019,1,2,AT01,50000827,3,M,,MAN_FIMID,,,CORP,PPL_TRAININGDURATION,12,HRS,9,
SCT_Test_s,M,2019,1,2,AT01,50000827,3,M,,MAN_FIMID,,,OPER,PPL_TRAININGDURATION,16,HRS,16,
SCT_Test_s,M,2019,1,2,AT01,50000827,3,F,,EMP,,,CORP,PPL_TRAININGDURATION,44,HRS,53,
SCT_Test_s,M,2019,1,2,AT01,50000827,3,F,,EMP,,,OPER,PPL_TRAININGDURATION,96,HRS,118,
SCT_Test_s,M,2019,1,2,AT01,50000827,3,F,,MAN_FIMID,,,CORP,PPL_TRAININGDURATION,4,HRS,9,
SCT_Test_s,M,2019,1,2,AT01,50000827,3,F,,MAN_FIMID,,,OPER,PPL_TRAININGDURATION,12,HRS,15,
SCT_Test_s,M,2019,1,2,AT01,50000827,3,NB,,EMP,,,CORP,PPL_TRAININGDURATION,0,HRS,1,
SCT_Test_s,M,2019,1,2,AT01,50000827,3,NB,,EMP,,,OPER,PPL_TRAININGDURATION,4,HRS,1,
SCT_Test_s,M,2019,1,2,AT01,50000827,3,UN,,EMP,,,CORP,PPL_TRAININGDURATION,0,HRS,2,
